"","term","estimate","std.error","statistic","p.value"
"182","statenameNJ",130.146307565774,998.568792394573,0.130332840918934,0.896312634354202
"183","statenameNM",-123.248894765399,1002.61773622543,-0.122927104032088,0.902173808458359
"184","statenameNV",-671.180171164946,1014.61636807684,-0.661511278826637,0.508339924493609
"185","statenameNY",-1140.46265115186,984.195696590077,-1.15877630343558,0.246648028946433
"186","statenameOH",-418.623774043789,982.776222362589,-0.425960421628252,0.67017003355677
"187","statenameOK",-989.173869113874,993.329114383774,-0.995816849411005,0.319426786433347
"188","statenameOR",-1352.10121906044,991.193348389791,-1.36411450022031,0.172643201644321
"189","statenamePA",132.198461647491,983.938326973389,0.134356451032999,0.89313055181269
"190","statenameRI",-54.0982130271767,1067.5968580358,-0.0506728852000451,0.95958986479475
"191","statenameSC",-745.106794302503,993.360898211875,-0.750086696228684,0.453266681558219
"192","statenameSD",93.9045272330567,992.245232762325,0.0946384261999774,0.924608924425729
"193","statenameTN",-478.366168555994,988.142928689635,-0.484106250894645,0.628349028476887
"194","statenameTX",-256.419075943561,988.038645834547,-0.259523326364402,0.795250919714143
"195","statenameUT",-2593.60278065822,1020.49556504741,-2.54151303493194,0.0110918712558911
"196","statenameVA",-417.788676451394,982.982049470705,-0.425021674278138,0.670854139499301
"197","statenameVT",-1620.93621715054,1010.90849592161,-1.60344504343371,0.108951311916118
"198","statenameWA",-954.907727717744,988.747915197932,-0.965774706616283,0.334241879719832
"199","statenameWI",-387.813842778396,988.709799992421,-0.392242337217016,0.694909572231153
"200","statenameWV",-1046.2786089234,993.383627927747,-1.05324728484402,0.292320238171441
"201","statenameWY",-268.565191310266,1004.9706868408,-0.267236840663004,0.789306858664958
"202",NA,NA,NA,NA,NA
"203","(Intercept)",8932.35389364856,990.759685479372,9.01566144097467,3.54203769604881e-19
"204","casep",11.330030172178,3.04652967955698,3.71899550107964,0.000203944153923974
"205","a85a",177.194529861525,40.1963552877833,4.40822379523993,1.08148360878155e-05
"206","a7584",182.6673796158,31.4683620388753,5.80479465026291,7.16909448941165e-09
"207","a6574",-48.3840956965574,26.880663883421,-1.79995910467073,0.0719747758109914
"208","a5564",28.6563974177162,26.0691935900337,1.09924372300766,0.271756344395347
"209","a2034",-28.1021006584929,14.0514868488404,-1.9999378685546,0.0456034752916861
"210","pdensity",0.0245560426414974,0.0255214437641472,0.962172942425536,0.336045880963586
"211","pop",-1.75185832479417e-05,7.73132049372741e-05,-0.226592381756194,0.8207572688074
"212","aindian",1.75851207604949,4.61077515713141,0.381391851938308,0.702941464639222
"213","black",4.24648426211986,3.36206170448587,1.26305958526994,0.206673008134803
"214","latino",11.8677828066916,2.4331993296178,4.87743961714626,1.13485583805661e-06
"215","asian",9.39567242103372,11.858826284435,0.792293621280696,0.428256657565617
"216","sparent",56.6722156392243,17.1730637842722,3.30006435375422,0.000978747895722293
"217","mincome",-0.00529565492621977,0.00403986847705622,-1.31084834971623,0.190016580026476
